,Z1,Z2,merged_branchcoords,tips_type
0,-2.05102085037747,2.01163510574594,1,pheno1_right2
1,-1.99661364425215,1.85198936758497,1,pheno1_right2
2,-2.60702909588455,0.411852621270213,2,pheno2_31
3,-2.92518400428781,1.58699092708356,1,pheno1_left1
4,-2.05342395441723,1.36315240069331,1,pheno1_right1
5,-2.12496900274892,0.991505856134362,1,pheno1_left1
6,-2.60961460719373,0.404506496951531,2,pheno2_31
7,-2.50178945324671,0.324754080578024,2,pheno2_31
8,-1.86467086595023,0.085163163163627,2,pheno2_2
9,-2.36199525494167,0.334430033346631,2,pheno2_31
10,-1.49753767539567,0.568910738030389,2,pheno2_4
11,-2.08571497579658,0.297722684821521,2,pheno2_31
12,-2.57591014065483,1.2612386329576,1,pheno1_left1
13,-1.39420591836147,-0.238642751006025,2,pheno2_1
14,-1.49275688167613,-0.18735949158573,2,pheno2_1
15,-0.639334327669469,-0.43774055553495,3,pheno3_3
16,-0.982782712026824,-0.611981545562594,3,pheno3_41
17,-0.8153016233913,-0.57506215555662,3,pheno3_2
18,-1.37253384656567,-0.249949643156864,2,pheno2_1
19,-1.85810558063536,0.0886521908248314,2,pheno2_2
20,-1.92419744848573,0.0078322754848187,2,pheno2_2
21,-1.59119533612107,-0.0606093902212479,2,pheno2_1
22,-1.82229810743287,0.122890547712031,2,pheno2_2
23,-1.18494116118963,-0.400486892468497,2,pheno2_1
24,-1.40073609738957,0.584222604190031,2,pheno2_4
25,-2.06242452059195,0.910933109924615,2,pheno2_5
26,-1.69837221926663,0.0757400351660437,2,pheno2_1
27,-2.26184968593385,0.297477536362756,2,pheno2_31
28,-1.95263911264039,-0.0401948214426063,2,pheno2_2
29,-1.91415193080287,-0.0114290855023862,2,pheno2_2
30,-1.80212239114556,0.144390530366037,2,pheno2_2
31,-2.48728709583569,0.359538602046273,2,pheno2_31
32,-1.9405060232143,1.77736105616097,1,pheno1_right1
33,-2.93438610887297,1.55136267687746,1,pheno1_left1
34,-2.95739935479394,1.62092965561851,1,pheno1_left2
35,-1.24341018798508,0.826142017105724,2,pheno2_4
36,-0.646862704171927,-0.370426592440642,3,pheno3_3
